Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Location,Bin name,Incoming (not editable),Unavailable (not editable),Committed (not editable),Available (not editable),On hand (current),On hand (new)
bocina-jbl-charge-5-bluetooth,Bocina JBL Charge 5 Bluetooth,color,Negro,,,,,JBLCHARGE5-BK,,,Sucursal Santa Ana Zarzamora,,0,0,0,0,0,
monitor-msi-g27c3f-curvo-27-plg,Monitor MSI G27C3F Curvo 27 Plg,Title,Default Title,,,,,G27C3F,,,Sucursal Chalchuapa,,0,0,0,1,1,
monitor-msi-g27c3f-curvo-27-plg,Monitor MSI G27C3F Curvo 27 Plg,Title,Default Title,,,,,G27C3F,,,Sucursal Santa Ana Independencia,,0,0,0,1,1,
monitor-msi-g27c3f-curvo-27-plg,Monitor MSI G27C3F Curvo 27 Plg,Title,Default Title,,,,,G27C3F,,,Sucursal Santa Ana Zarzamora,,0,0,0,0,0,
bobina-utp-cat-5e-interior-prisma-gce-011-100mts,Bobina UTP CAT 5E INTERIOR PRISMA GCE-011 100MTS,Title,Default Title,,,,,GCE-011,,,Sucursal Chalchuapa,,0,0,0,0,0,
bobina-utp-cat-5e-interior-prisma-gce-011-100mts,Bobina UTP CAT 5E INTERIOR PRISMA GCE-011 100MTS,Title,Default Title,,,,,GCE-011,,,Sucursal Santa Ana Independencia,,0,0,0,0,0,
bobina-utp-cat-5e-interior-prisma-gce-011-100mts,Bobina UTP CAT 5E INTERIOR PRISMA GCE-011 100MTS,Title,Default Title,,,,,GCE-011,,,Sucursal Santa Ana Zarzamora,,0,0,0,0,0,
audifonos-con-microfono-xiaomi-redmi-buds-5-pro,Audífonos con Micrófono Xiaomi Redmi Buds 5 Pro,Color,Negro,,,,,Buds5-Pro-BK,,,Sucursal Chalchuapa,,0,0,0,0,0,
audifonos-con-microfono-xiaomi-redmi-buds-5-pro,Audífonos con Micrófono Xiaomi Redmi Buds 5 Pro,Color,Negro,,,,,Buds5-Pro-BK,,,Sucursal Santa Ana Independencia,,0,0,0,0,0,
audifonos-con-microfono-xiaomi-redmi-buds-5-pro,Audífonos con Micrófono Xiaomi Redmi Buds 5 Pro,Color,Negro,,,,,Buds5-Pro-BK,,,Sucursal Santa Ana Zarzamora,,0,0,0,0,0,
audifonos-con-microfono-xiaomi-redmi-buds-5-pro,Audífonos con Micrófono Xiaomi Redmi Buds 5 Pro,Color,Lila,,,,,Buds5-Pro-PR,,,Sucursal Chalchuapa,,0,0,0,0,0,
audifonos-con-microfono-xiaomi-redmi-buds-5-pro,Audífonos con Micrófono Xiaomi Redmi Buds 5 Pro,Color,Lila,,,,,Buds5-Pro-PR,,,Sucursal Santa Ana Independencia,,0,0,0,0,0,
audifonos-con-microfono-xiaomi-redmi-buds-5-pro,Audífonos con Micrófono Xiaomi Redmi Buds 5 Pro,Color,Lila,,,,,Buds5-Pro-PR,,,Sucursal Santa Ana Zarzamora,,0,0,0,0,0,
